tag,method,topology,scheme,nodes,cycles,gossip_k,lambda_reg,seed,node,n_local,test_acc,hinge_loss,duality_gap,consensus_err,comm_bytes
covtype,fedavg_svm,random_kout,dirichlet_0.3,10,100,1,0.01,42,6,10200,0.5159,0.005981557994284591,nan,4.6548068714102895,21600
covtype,fedavg_svm,random_kout,dirichlet_0.3,10,100,1,0.01,42,7,4364,0.5159,0.2759741577924466,nan,4.6548068714102895,21600
covtype,fedavg_svm,random_kout,dirichlet_0.3,10,100,1,0.01,42,8,3745,0.5115,1.8009776065311442,nan,4.6548068714102895,21600
covtype,fedavg_svm,random_kout,dirichlet_0.3,10,100,1,0.01,42,9,6111,0.5152,1.1446331714206808,nan,4.6548068714102895,21600
covtype,fedavg_svm,random_kout,dirichlet_0.1,10,100,1,0.01,42,0,111,0.5159,0.0,nan,3.2751023845914715,21600
covtype,fedavg_svm,random_kout,dirichlet_0.1,10,100,1,0.01,42,1,2160,0.4841,0.02557071422462824,nan,3.2751023845914715,21600
covtype,fedavg_svm,random_kout,dirichlet_0.1,10,100,1,0.01,42,2,11171,0.4841,0.0,nan,3.2751023845914715,21600
covtype,fedavg_svm,random_kout,dirichlet_0.1,10,100,1,0.01,42,3,110,0.5159,0.2089500241653105,nan,3.2751023845914715,21600
covtype,fedavg_svm,random_kout,dirichlet_0.1,10,100,1,0.01,42,4,4214,0.4841,0.10307440188302788,nan,3.2751023845914715,21600
covtype,fedavg_svm,random_kout,dirichlet_0.1,10,100,1,0.01,42,5,1,0.5159,0.0,nan,3.2751023845914715,21600
covtype,fedavg_svm,random_kout,dirichlet_0.1,10,100,1,0.01,42,6,302,0.5159,0.0,nan,3.2751023845914715,21600
covtype,fedavg_svm,random_kout,dirichlet_0.1,10,100,1,0.01,42,7,16592,0.5159,0.00019219323601099905,nan,3.2751023845914715,21600
covtype,fedavg_svm,random_kout,dirichlet_0.1,10,100,1,0.01,42,8,1060,0.5195,1.30379290830053,nan,3.2751023845914715,21600
covtype,fedavg_svm,random_kout,dirichlet_0.1,10,100,1,0.01,42,9,4279,0.5487,1.3508505191731401,nan,3.2751023845914715,21600
covtype,fedavg_svm,random_kout,label_skew,10,100,1,0.01,42,0,4109,0.5159,0.0,nan,2.125687155455189,21600
covtype,fedavg_svm,random_kout,label_skew,10,100,1,0.01,42,1,3892,0.4841,0.0,nan,2.125687155455189,21600
covtype,fedavg_svm,random_kout,label_skew,10,100,1,0.01,42,2,4109,0.5159,0.0,nan,2.125687155455189,21600
covtype,fedavg_svm,random_kout,label_skew,10,100,1,0.01,42,3,3892,0.4841,0.0,nan,2.125687155455189,21600
covtype,fedavg_svm,random_kout,label_skew,10,100,1,0.01,42,4,4108,0.5159,0.0,nan,2.125687155455189,21600
covtype,fedavg_svm,random_kout,label_skew,10,100,1,0.01,42,5,3892,0.4841,0.0,nan,2.125687155455189,21600
covtype,fedavg_svm,random_kout,label_skew,10,100,1,0.01,42,6,4108,0.5159,0.0,nan,2.125687155455189,21600
covtype,fedavg_svm,random_kout,label_skew,10,100,1,0.01,42,7,3891,0.4841,0.0,nan,2.125687155455189,21600
covtype,fedavg_svm,random_kout,label_skew,10,100,1,0.01,42,8,4108,0.5159,0.0,nan,2.125687155455189,21600
covtype,fedavg_svm,random_kout,label_skew,10,100,1,0.01,42,9,3891,0.4841,0.0,nan,2.125687155455189,21600
covtype,fedavg_svm,full,iid,10,100,1,0.01,42,0,4000,0.6111,1.2030541982265857,nan,6.216170494827925,21600
covtype,fedavg_svm,full,iid,10,100,1,0.01,42,1,4000,0.5676,1.6125419811251844,nan,6.216170494827925,21600
covtype,fedavg_svm,full,iid,10,100,1,0.01,42,2,4000,0.5167,1.457109800025684,nan,6.216170494827925,21600
