tag,method,topology,scheme,nodes,cycles,gossip_k,lambda_reg,seed,node,n_local,test_acc,hinge_loss,duality_gap,consensus_err,comm_bytes,components
covtype,bdsvm,random_kout,iid,10,100,1,0.01,42,7,4000,0.729,0.63432548543037,nan,18.48203396249841,16400784,2
covtype,bdsvm,random_kout,iid,10,100,1,0.01,42,8,4000,0.6797,0.619710885563354,nan,18.48203396249841,16400784,2
covtype,bdsvm,random_kout,iid,10,100,1,0.01,42,9,4000,0.6796,0.5910698424769585,nan,18.48203396249841,16483200,2
covtype,bdsvm,random_kout,label_skew,10,100,1,0.01,42,0,4109,0.6776,0.9317528989696591,nan,23.341073954876528,16483200,2
covtype,bdsvm,random_kout,label_skew,10,100,1,0.01,42,1,3892,0.6777,0.34223928661604974,nan,23.341073954876528,16483200,2
covtype,bdsvm,random_kout,label_skew,10,100,1,0.01,42,2,4109,0.6777,0.9216461353206019,nan,23.341073954876528,16483200,2
covtype,bdsvm,random_kout,label_skew,10,100,1,0.01,42,3,3892,0.6769,0.35577180549420356,nan,23.341073954876528,16318368,2
covtype,bdsvm,random_kout,label_skew,10,100,1,0.01,42,4,4108,0.6772,0.9165465096243485,nan,23.341073954876528,16483200,2
covtype,bdsvm,random_kout,label_skew,10,100,1,0.01,42,5,3892,0.6776,0.3579839289584388,nan,23.341073954876528,16400784,2
covtype,bdsvm,random_kout,label_skew,10,100,1,0.01,42,6,4108,0.5835,0.1331632131780359,nan,23.341073954876528,16483200,2
covtype,bdsvm,random_kout,label_skew,10,100,1,0.01,42,7,3891,0.678,0.34176830948257236,nan,23.341073954876528,16400784,2
covtype,bdsvm,random_kout,label_skew,10,100,1,0.01,42,8,4108,0.5835,0.12552627440770267,nan,23.341073954876528,16400784,2
covtype,bdsvm,random_kout,label_skew,10,100,1,0.01,42,9,3891,0.5839,1.452752699417811,nan,23.341073954876528,16483200,2
covtype,bdsvm,ring,dirichlet_0.1,10,100,1,0.01,42,0,111,0.7262,0.45855894446358797,nan,92.9599750044672,16483200,1
covtype,bdsvm,ring,dirichlet_0.1,10,100,1,0.01,42,1,2160,0.7089,0.9885845657481435,nan,92.9599750044672,16483200,1
covtype,bdsvm,ring,dirichlet_0.1,10,100,1,0.01,42,2,11171,0.7084,0.9991958157093142,nan,92.9599750044672,16483200,1
covtype,bdsvm,ring,dirichlet_0.1,10,100,1,0.01,42,3,110,0.7229,0.40643599985134676,nan,92.9599750044672,16400784,1
covtype,bdsvm,ring,dirichlet_0.1,10,100,1,0.01,42,4,4214,0.6408,0.2842305182724711,nan,92.9599750044672,16483200,1
covtype,bdsvm,ring,dirichlet_0.1,10,100,1,0.01,42,5,1,0.6345,1.8228758396378997,nan,92.9599750044672,16400784,1
covtype,bdsvm,ring,dirichlet_0.1,10,100,1,0.01,42,6,302,0.6842,0.8757716916306435,nan,92.9599750044672,16153536,1
covtype,bdsvm,ring,dirichlet_0.1,10,100,1,0.01,42,7,16592,0.6945,0.7887787941431437,nan,92.9599750044672,16400784,1
covtype,bdsvm,ring,dirichlet_0.1,10,100,1,0.01,42,8,1060,0.6954,0.6274826549329543,nan,92.9599750044672,16483200,1
covtype,bdsvm,ring,dirichlet_0.1,10,100,1,0.01,42,9,4279,0.7074,0.6337831792806508,nan,92.9599750044672,16400784,1
covtype,bdsvm,ring,dirichlet_0.3,10,100,1,0.01,42,0,746,0.7314,0.48328927406348476,nan,45.283009577293285,16483200,1
covtype,bdsvm,ring,dirichlet_0.3,10,100,1,0.01,42,1,3023,0.7017,0.8968783575480881,nan,45.283009577293285,16483200,1
covtype,bdsvm,ring,dirichlet_0.3,10,100,1,0.01,42,2,6249,0.7262,0.8224188117524984,nan,45.283009577293285,16483200,1
covtype,bdsvm,ring,dirichlet_0.3,10,100,1,0.01,42,3,1084,0.7267,0.6209818396078324,nan,45.283009577293285,16400784,1
covtype,bdsvm,ring,dirichlet_0.3,10,100,1,0.01,42,4,4177,0.7377,0.681062654315731,nan,45.283009577293285,16483200,1
covtype,bdsvm,ring,dirichlet_0.3,10,100,1,0.01,42,5,301,0.7383,0.6628862877288045,nan,45.283009577293285,16400784,1
